Transaction_ID,User_ID,Date,Account_Number,Transaction_Type,Amount,Currency,Category,Counterparty,Payment_Method
TXN00001,U001,18/08/2024,250637,Refund,952.11,USD,Payroll,Garcia-Gordon,Cash
TXN00002,U233,26/11/2024,122794,Debit,3293.29,USD,Payroll,"Heath, Pena and Buchanan",Cash
TXN00003,U251,30/04/2024,152231,Debit,2849.97,USD,Operations,Pham PLC,Cash
TXN00004,U235,23/03/2024,862833,Refund,9813.53,USD,Payroll,"Levine, Long and Stewart",Cash
TXN00005,U500,03/07/2024,436506,Credit,1228.69,USD,Inventory,Lee LLC,Bank Transfer
TXN00006,U008,22/02/2024,792179,Debit,3741.85,USD,Sales,Wilkerson-Atkins,Bank Transfer
TXN00007,U041,20/05/2024,961613,Debit,9292.19,USD,Inventory,"Barker, Davis and Fisher",Credit Card
TXN00008,U347,21/12/2024,785021,Debit,1069.64,USD,Marketing,Duke Group,Credit Card
TXN00009,U175,07/04/2024,732663,Refund,3242.15,USD,Payroll,"Blanchard, Graves and Bell",Cash
TXN00010,U133,13/03/2024,110110,Debit,298.46,USD,Inventory,Armstrong-Johnson,Bank Transfer
TXN00011,U330,10/10/2024,166689,Refund,4607.73,USD,Payroll,"Stanley, Gates and Torres",Cash
TXN00012,U096,20/06/2024,716212,Refund,7079.99,USD,Sales,Preston-Trevino,Cash
TXN00013,U338,05/01/2025,928278,Refund,4803.75,USD,Operations,"Nichols, Owens and Gomez",Bank Transfer
TXN00014,U013,25/01/2024,762652,Debit,6287.28,USD,Inventory,Mendoza Ltd,Bank Transfer
TXN00015,U193,14/01/2024,545552,Refund,2700.49,USD,Inventory,Brown Ltd,Credit Card
TXN00016,U494,21/10/2024,696697,Credit,6583.48,USD,Sales,Berger-Williams,Credit Card
TXN00017,U327,16/01/2024,522781,Debit,3300.97,USD,Payroll,Cochran-Horton,Bank Transfer
TXN00018,U095,18/11/2024,369903,Debit,448.03,USD,Operations,"Jimenez, Stevenson and Williams",Credit Card
TXN00019,U096,01/02/2024,578528,Debit,6227.42,USD,Operations,Browning LLC,Credit Card
TXN00020,U370,12/05/2024,420885,Debit,4536.49,USD,Payroll,"Wells, Vazquez and Watkins",Bank Transfer
TXN00021,U114,22/08/2024,390800,Debit,9474.71,USD,Marketing,"Larson, Webb and Cruz",Cash
TXN00022,U044,31/07/2024,765447,Refund,9998.21,USD,Inventory,Moore-Schmidt,Cash
TXN00023,U464,15/10/2024,950777,Refund,9069.71,USD,Marketing,Young PLC,Cash
TXN00024,U461,26/09/2024,395222,Debit,7972.36,USD,Operations,Andrews PLC,Bank Transfer
TXN00025,U149,16/06/2024,837620,Refund,1301.91,USD,Sales,Harris-Kemp,Credit Card
TXN00026,U349,30/08/2024,964990,Debit,8634.16,USD,Sales,Phillips-Taylor,Cash
TXN00027,U162,14/06/2024,805539,Refund,8017.56,USD,Inventory,Meadows-Brown,Bank Transfer
TXN00028,U381,24/01/2024,108842,Refund,2836.71,USD,Inventory,Webb-Oneill,Cash
TXN00029,U446,28/01/2024,710232,Refund,7983.49,USD,Marketing,Gomez-Kane,Cash
TXN00030,U252,26/04/2024,929876,Refund,7440.56,USD,Operations,"Casey, Jones and Richards",Credit Card
TXN00031,U319,29/05/2024,920843,Credit,5476.09,USD,Inventory,Craig Inc,Credit Card
TXN00032,U343,13/05/2024,561835,Debit,6026.89,USD,Payroll,Chandler and Sons,Credit Card
TXN00033,U359,27/11/2024,619444,Credit,934.58,USD,Payroll,"Jones, Taylor and Robles",Bank Transfer
